day,open,high,low,close,volume
2025-11-11,33.76,34.07,33.16,33.53,1244600
2025-11-12,33.53,33.67,32.93,33.31,1163846
2025-11-13,33.14,33.43,32.96,33.01,1153540
2025-11-14,32.9,33.17,32.6,32.6,1076426
2025-11-17,32.59,32.95,32.41,32.6,963060
2025-11-18,32.5,32.68,32.15,32.31,1131885
2025-11-19,32.31,32.57,31.02,31.2,1693462
2025-11-20,31.64,31.99,30.95,31.52,1706745
2025-11-21,31.29,31.51,29.79,30.11,1937701
2025-11-24,30.49,31.36,30.01,31.05,1648700
2025-11-25,31.36,32.03,31.11,31.48,1222700
2025-11-26,31.69,32.08,31.31,31.45,1451913
2025-11-27,31.46,32.07,31.38,31.68,1296327
2025-11-28,31.82,31.97,31.46,31.9,953320
2025-12-01,32.04,32.76,31.8,32.44,1297418
2025-12-02,32.31,32.47,31.86,31.9,925978
2025-12-03,31.83,32.16,31.45,31.5,1002809
2025-12-04,31.5,31.76,30.9,31.18,935200
2025-12-05,31.18,33.33,31.15,32.47,2482288
2025-12-08,32.79,33.75,32.3,33.35,2852549
2025-12-09,33.42,33.79,32.91,33.37,2652960
2025-12-10,33.12,33.42,32.73,33.26,1778594
2025-12-11,33.36,33.36,32.55,32.6,1517560
2025-12-12,32.73,32.95,31.96,32.32,1651060
2025-12-15,32.39,33.63,32.02,32.85,2349512
2025-12-16,32.6,32.84,31.92,32.0,1582737
2025-12-17,32.0,32.87,31.55,32.85,1994292
2025-12-18,32.61,32.97,32.45,32.46,1382280
2025-12-19,32.78,33.09,32.45,32.47,1410500
2025-12-22,32.5,33.33,32.5,33.04,1766980
2025-12-23,32.97,33.64,32.76,33.53,2326960
2025-12-24,33.36,33.97,33.0,33.65,2011120
2025-12-25,33.68,34.74,33.51,34.73,3117765
2025-12-26,34.81,36.57,34.51,34.92,5786303
2025-12-29,35.15,35.23,34.4,34.51,3230246
2025-12-30,34.17,34.99,34.17,34.58,2429973
2025-12-31,34.62,34.62,33.83,33.88,2204500
2026-01-05,33.92,34.29,33.79,34.14,2166020
2026-01-06,34.14,34.18,33.53,33.86,2354060
2026-01-07,33.87,34.29,33.47,34.13,2015783
2026-01-08,34.11,34.55,33.79,34.45,2536316
2026-01-09,34.4,34.4,33.73,34.12,2890580
2026-01-12,34.2,35.7,33.74,35.39,4699243
2026-01-13,35.42,35.45,33.9,34.05,3581135
2026-01-14,34.09,35.43,34.08,35.34,5354393
