date,open,high,low,close,volume
2025-11-20,42.31,42.81,41.91,42.0,14072990
2025-11-21,42.5,42.55,41.59,42.07,27943464
2025-11-24,42.28,42.34,41.12,41.2,29288946
2025-11-25,41.5,41.55,40.95,41.2,21454000
2025-11-26,41.21,41.49,40.99,41.0,16604862
2025-11-27,41.01,41.45,40.79,41.45,14056150
2025-11-28,41.28,41.39,41.1,41.14,14193374
2025-12-01,41.14,41.37,40.9,41.34,17565207
2025-12-02,41.4,41.75,41.04,41.6,19433672
2025-12-03,41.48,41.92,41.3,41.64,16748056
2025-12-04,41.6,42.22,41.51,41.75,16704309
2025-12-05,41.6,41.75,41.31,41.53,13909697
2025-12-08,41.49,41.49,40.58,40.9,23739750
2025-12-09,41.0,41.13,40.4,40.48,16238526
2025-12-10,40.47,40.47,40.02,40.18,16846060
2025-12-11,40.47,40.67,40.04,40.31,17334377
2025-12-12,40.17,40.29,39.83,40.0,26275821
2025-12-15,40.0,40.26,39.89,39.91,17097856
2025-12-16,39.9,40.21,39.52,40.17,23011273
2025-12-17,40.16,40.25,39.94,40.0,20312905
2025-12-18,40.2,40.93,40.0,40.83,20351584
2025-12-19,40.68,40.86,40.43,40.59,16198407
2025-12-22,41.18,41.25,40.03,40.88,40200622
2025-12-23,40.87,41.46,40.84,41.15,22868985
2025-12-24,41.1,41.13,40.12,40.25,25981761
2025-12-25,40.25,40.35,40.01,40.13,13208802
2025-12-26,40.05,40.25,40.01,40.07,16596912
2025-12-29,40.07,40.65,40.01,40.2,24073766
2025-12-30,40.21,40.49,40.0,40.45,23746836
2025-12-31,40.35,40.55,40.16,40.5,19453115
2026-01-05,40.51,40.75,40.22,40.26,28383600
2026-01-06,40.3,41.02,40.07,40.78,36700809
2026-01-07,41.0,41.32,40.24,41.26,41432171
2026-01-08,41.26,41.66,41.16,41.45,34492552
2026-01-09,41.4,42.55,41.22,42.45,36814026
2026-01-12,42.45,42.55,41.68,41.86,26094999
2026-01-13,41.94,42.33,41.7,41.9,22288873
