代码,股票代码,名称,最新价,涨跌额,涨跌幅,buy,sell,昨收,今开,最高,最低,成交量,成交额,ticktime,市盈率,市净率,总市值,流通市值,换手率,交易所
sz301292,301292,海科新源,69.75,-2.3,-3.192,69.750,69.760,72.05,71.2,71.95,68.28,8630864,600070226,16:29:45,-86.111,5.434,1554000.55155,594220.526325,10.13097,深交所
sh688176,688176,亚虹医药,10.61,-0.35,-3.193,10.600,10.610,10.96,10.96,10.98,10.45,10160312,108140092,15:00:02,-14.338,4.132,606011.885646,462262.791889,2.33203,上交所
sz002082,002082,ST万邦,15.46,-0.51,-3.193,15.450,15.460,15.97,16.08,16.19,15.34,12117345,190375627,15:00:00,-57.259,3.621,945671.27903,877892.500912,2.13391,深交所
sh688591,688591,泰凌微,31.76,-1.05,-3.2,31.760,31.780,32.81,32.78,33.1,31.5,4886833,156679796,15:00:02,58.815,3.125,767207.038504,537562.610824,2.88721,上交所
sz000548,000548,湖南投资,4.84,-0.16,-3.2,4.830,4.840,5.0,5.0,5.0,4.8,11079000,53788501,15:00:00,57.414,1.168,241620.452524,241620.452524,2.21928,深交所
sz002639,002639,雪人集团,15.73,-0.52,-3.2,15.720,15.730,16.25,16.26,16.38,15.1,65514570,1023903071,15:00:00,332.558,4.779,1225296.548476,1037603.71572,9.93196,深交所
sh605180,605180,华生科技,13.61,-0.45,-3.201,13.610,13.620,14.06,14.05,14.21,13.5,3478700,47539258,15:00:03,85.063,2.003,230009.0,230009.0,2.0584,上交所
sz301395,301395,仁信新材,12.7,-0.42,-3.201,12.640,12.700,13.12,13.12,13.69,12.41,7171037,91728621,16:29:15,92.029,2.139,308420.05626,164275.37376,5.54387,深交所
sz301509,301509,金凯生科,28.12,-0.93,-3.201,28.120,28.130,29.05,29.06,29.1,27.9,2025467,57211405,16:29:15,32.322,1.524,338696.033228,159555.489536,3.56968,深交所
sh600825,600825,新华传媒,5.14,-0.17,-3.202,5.140,5.150,5.31,5.29,5.32,5.13,7593700,39350515,15:00:03,128.5,2.151,537072.3549,537072.3549,0.72675,上交所
sh601606,601606,长城军工,33.24,-1.1,-3.203,33.240,33.250,34.34,34.34,34.34,32.8,10075556,335510802,15:00:02,3324.0,11.032,2407335.2016,2407335.2016,1.39121,上交所
sz001236,001236,弘业期货,8.16,-0.27,-3.203,8.160,8.170,8.43,8.39,8.45,8.11,11026400,90450969,15:00:00,2040.0,4.39,822346.666848,618591.466848,1.45452,深交所
sh600661,600661,昂立教育,8.46,-0.28,-3.204,8.460,8.470,8.74,8.78,8.8,8.38,4710753,40122404,15:00:02,27.29,9.515,242420.31018,242420.31018,1.64396,上交所
sh688390,688390,固德威,139.84,-4.63,-3.205,139.840,139.910,144.47,146.98,149.58,136.0,8211658,1164061813,15:00:01,249.714,11.948,3398982.042528,3398982.042528,3.37842,上交所
sz000409,000409,云鼎科技,9.66,-0.32,-3.206,9.660,9.670,9.98,9.84,9.92,9.6,9910744,95978260,15:00:00,77.84,3.988,654706.98783,570406.948944,1.67841,深交所
sz002833,002833,弘亚数控,18.11,-0.6,-3.207,18.100,18.110,18.71,18.71,18.76,17.65,12523002,226667941,15:00:00,17.931,2.572,768284.619238,521983.093877,4.34481,深交所
sh600197,600197,伊力特,12.36,-0.41,-3.211,12.350,12.360,12.77,12.77,12.77,12.35,10010700,125287400,15:00:03,27.016,1.469,584843.950212,584843.950212,2.11565,上交所
sz002666,002666,德联集团,4.52,-0.15,-3.212,4.520,4.530,4.67,4.66,4.67,4.49,9284800,42185508,15:00:00,75.333,1.009,356175.684052,226301.903908,1.85448,深交所
sh688783,688783,西安奕材,34.02,-1.13,-3.215,34.020,34.030,35.15,35.0,35.6,33.77,23208186,803144323,15:34:59,-162.0,11.197,13736595.6,629974.0251,12.53294,上交所
sh600929,600929,雪天盐业,5.41,-0.18,-3.22,5.410,5.420,5.59,5.6,5.61,5.39,19096900,104276941,15:00:01,115.106,1.173,887301.271496,887301.271496,1.16436,上交所
sz301100,301100,风光股份,16.23,-0.54,-3.22,16.230,16.240,16.77,17.08,17.08,16.11,1686500,27559533,16:29:15,-67.625,1.609,324600.0,142012.5,1.92743,深交所
sh600163,600163,中闽能源,6.91,-0.23,-3.221,6.910,6.920,7.14,7.0,7.0,6.73,71156160,489151330,15:00:03,25.593,1.793,1314970.334813,1314970.334813,3.73916,上交所
sz002011,002011,盾安环境,12.01,-0.4,-3.223,12.000,12.010,12.41,12.41,12.54,11.99,20555350,248894065,15:00:00,11.775,1.891,1290687.243939,1272530.726506,1.93999,深交所
sz301035,301035,润丰股份,52.83,-1.76,-3.224,52.830,52.850,54.59,54.58,55.19,52.76,1521095,81607292,16:29:30,14.088,2.505,1925681.320278,1922812.836183,0.41793,深交所
sh605100,605100,华丰股份,35.38,-1.18,-3.228,35.360,35.380,36.56,36.42,36.86,34.24,4796400,168669409,15:00:03,272.154,4.693,845659.836,841707.1824,2.0161,上交所
bj920726,920726,朱老六,18.58,-0.62,-3.229,18.580,18.590,19.2,18.76,19.49,18.4,4533900,85283531,15:30:02,94.941,4.109,188902.86,103887.19939,8.10878,北交所
sh605339,605339,南侨食品,14.07,-0.47,-3.232,14.070,14.080,14.54,14.45,14.53,13.92,1623200,22863844,15:00:03,140.7,1.745,596976.896712,596976.896712,0.38257,上交所
sh603181,603181,皇马科技,13.77,-0.46,-3.233,13.770,13.780,14.23,14.15,14.25,13.63,5800304,80012135,15:00:03,18.118,2.243,810639.9,810639.9,0.98527,上交所
sz002398,002398,垒知集团,4.49,-0.15,-3.233,4.490,4.500,4.64,4.68,4.68,4.44,14979200,67516175,15:00:00,56.125,0.864,313419.008569,273665.197374,2.45762,深交所
sh600057,600057,厦门象屿,6.28,-0.21,-3.236,6.280,6.290,6.49,6.49,6.52,6.28,19652311,125180262,15:00:03,20.933,1.131,1782901.758492,1314096.382992,0.93917,上交所
